fold,fdr_q,stock_a,stock_b,Q_estimated,R_estimated
fold_03_202101_202106,0.1,UPS,RTX,0.0005135718482310149,4.794882724411633e-05
fold_04_202104_202109,0.1,PNC,NTRS,0.000533013250183535,4.3717761908217366e-05
fold_04_202104_202109,0.1,KMB,MDLZ,0.0005085626653406109,3.428808546428513e-05
fold_04_202104_202109,0.1,EOG,OXY,0.0008203549422048965,6.441177639225714e-05
fold_04_202104_202109,0.1,LOW,NKE,0.0005391730964383522,6.79383492995017e-05
fold_04_202104_202109,0.1,TFC,NTRS,0.0005559749191683934,5.003362303677532e-05
fold_04_202104_202109,0.1,RF,NTRS,0.0005459175058437338,6.736977200593719e-05
fold_04_202104_202109,0.1,MCHP,MRVL,0.0005220443079105702,7.603055454668403e-05
fold_04_202104_202109,0.1,PFE,ELV,0.0004972904786378137,3.896486344560804e-05
fold_04_202104_202109,0.1,JNJ,XLV,0.000491608603268326,2.1012921450069995e-05
fold_04_202104_202109,0.1,GOOGL,ADBE,0.00047683132672438695,3.3612387112306975e-05
fold_05_202107_202112,0.1,V,MA,0.0004345152586050427,1.5403332610108457e-05
fold_05_202107_202112,0.1,MCHP,MRVL,0.0005248572270708436,7.791667512799038e-05
fold_05_202107_202112,0.1,HD,TGT,0.0005121152185798578,4.735913225858627e-05
fold_05_202107_202112,0.1,NSC,CSX,0.0004916845743526593,2.8145306408591326e-05
fold_05_202107_202112,0.1,NKE,TGT,0.0004895837058928917,6.800377541322372e-05
fold_05_202107_202112,0.1,ORCL,NOW,0.0004414550390260798,5.51493518410452e-05
fold_05_202107_202112,0.1,TFC,NTRS,0.0005609218657886057,5.2448283102032204e-05
fold_05_202107_202112,0.1,QCOM,SMH,0.0005377230326530333,5.890356872333777e-05
fold_05_202107_202112,0.1,JNJ,TMO,0.0005059467849317139,3.254755681259968e-05
fold_05_202107_202112,0.1,QCOM,AVGO,0.0005384765679486316,7.163150526845582e-05
fold_06_202110_202203,0.1,TMO,DHR,0.0004928806274015937,3.3251965798882286e-05
fold_06_202110_202203,0.1,PEP,PG,0.000493083102800266,2.5181051567165345e-05
fold_06_202110_202203,0.1,HBAN,NTRS,0.0005541751022080073,5.75759555822216e-05
fold_06_202110_202203,0.1,V,MA,0.00043532973176405796,1.603840055453345e-05
fold_06_202110_202203,0.1,HD,TGT,0.0004940677046731043,4.9640936935066314e-05
fold_06_202110_202203,0.1,LOW,XLY,0.0005426936955349546,4.8732316103576115e-05
fold_06_202110_202203,0.1,PEP,MDLZ,0.0005066219469835662,2.35168446158038e-05
fold_06_202110_202203,0.1,C,USB,0.0005580438264957183,3.868603880935148e-05
fold_06_202110_202203,0.1,DE,PH,0.0005078646065629232,4.9385722306158294e-05
fold_06_202110_202203,0.1,TFC,NTRS,0.0005671025041207699,5.321284193460994e-05
fold_07_202201_202206,0.1,PEP,MDLZ,0.0005091244560567025,2.385837858729262e-05
fold_07_202201_202206,0.1,LOW,XLY,0.0005255470452133759,4.963886558240519e-05
fold_07_202201_202206,0.1,TFC,NTRS,0.0005884030181782659,5.444716412916318e-05
fold_07_202201_202206,0.1,HD,TGT,0.0004832601135769091,5.1475037947637475e-05
fold_07_202201_202206,0.1,MCHP,NXPI,0.0006011492543459806,8.14946236404922e-05
fold_07_202201_202206,0.1,TMO,DHR,0.00046723947148781715,3.406221593642116e-05
fold_07_202201_202206,0.1,FANG,XLE,0.0006697111535807534,0.00013301788443207128
fold_07_202201_202206,0.1,DE,PH,0.0005095075460634622,4.974817632565859e-05
fold_07_202201_202206,0.1,C,USB,0.0005592173214201391,3.888998383225056e-05
fold_07_202201_202206,0.1,RF,NTRS,0.0005553457410150507,7.143938727006058e-05
fold_08_202204_202209,0.1,DE,PH,0.0005323200513368109,5.051815993720298e-05
fold_08_202204_202209,0.1,UNP,NSC,0.0004982900751182879,2.924408940333426e-05
fold_08_202204_202209,0.1,BAC,PNC,0.0005132486855526999,2.902062191542061e-05
fold_08_202204_202209,0.1,LOW,XLY,0.0005296846408378305,5.097143924432059e-05
fold_08_202204_202209,0.1,HD,TGT,0.0004806500611810793,5.2925249062997066e-05
fold_08_202204_202209,0.1,PEP,HSY,0.0005001825394730306,3.5069792547117967e-05
fold_08_202204_202209,0.1,NKE,TGT,0.0004805181211678079,7.344024669418602e-05
fold_08_202204_202209,0.1,BAC,XLF,0.0005130368816489503,1.7179038087786054e-05
fold_08_202204_202209,0.1,C,USB,0.000562122027670058,3.8979111311785446e-05
fold_08_202204_202209,0.1,DIS,IYZ,0.0005363112734691614,5.876196174517997e-05
fold_09_202207_202212,0.1,DE,PH,0.0005059313706582817,5.396807125563909e-05
fold_09_202207_202212,0.1,JNJ,LLY,0.0005137035397015458,3.312884507375063e-05
fold_09_202207_202212,0.1,UNP,NSC,0.000500200754117044,2.8797210123033616e-05
fold_09_202207_202212,0.1,LOW,XLY,0.0005426778688357393,4.9957646634774016e-05
fold_09_202207_202212,0.1,JNJ,XLV,0.000494611514644962,2.2708020182392995e-05
fold_09_202207_202212,0.1,CVX,OKE,0.0007288245113653615,5.6081690965469195e-05
fold_09_202207_202212,0.1,JNJ,ISRG,0.000524497041433316,3.873700486767583e-05
fold_09_202207_202212,0.1,MDLZ,HSY,0.0005021282198485373,2.9008491993349355e-05
